DeviceAddress,Nome,MAC,TAG,LAT,LONG,Grupo,Modelo
009E7F4D,Luminaria 50W,1A-FE-34-9E-7F-4D,L19,-29.79595,-51.1486,G1,HDA-50
009E818F,Luminaria 50W,1A-FE-34-9E-81-8F,L17,-29.7959,-51.1486,G2,HDA-50
009E8032,Luminaria 50W,1A-FE-34-9E-81-32,L08,-29.79585,-51.1486,G2,HDA-50
009E8054,Luminaria 50W,1A-FE-34-9E-80-54,L20,-29.7958,-51.1486,G3,HDA-50
009E801F,Luminaria 50W,1A-FE-34-9E-80-1F,L07,-29.79575,-51.1486,G3,HDA-50
009E7F4F,Luminaria 50W,1A-FE-34-9E-7F-4F,L16,-29.7957,-51.1486,G3,HDA-50
009E81D8,Luminaria 50W,1A-FE-34-9E-81-D8,L13,-29.79565,-51.1486,G3,HDA-50
009E7FE4,Luminaria 100W,1A-FE-34-9E-7F-E4,Home,-29.7959,-51.1487,Sala,HDA-100
009E8073,Luminaria 50W,1A-FE-34-9E-80-73,L05,-29.79585,-51.1487,G1,HDA-50
009E7DEC,Luminaria 50W,1A-FE-34-9E-7D-EC,L01,-29.7958,-51.1487,G1,HDA-50
009E8100,Luminaria 50W,1A-FE-34-9E-81-00,L12,-29.79575,-51.1487,G2,HDA-50
009E812B,Luminaria 50W,1A-FE-34-9E-81-2B,L09,-29.7956,-51.1487,G1,HDA-50
009E7DC4,Luminaria 50W,1A-FE-34-9E-7D-C4,L21,-29.7957,-51.1487,G2,HDA-50
0006E34D,Modelo Klabin 150W,5E-CF-7F-06-E3-4D,Klabin,-29.79565,-51.1487,Klabin,HDA-150
